N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
2,2,8,2,FC_test,fc1/MatMul,4097,2049,49152,65536,262144,262144,98304,24,196632,131072,80,65536,16384,32768,1
2,2,8,2,FC_test,fc2/MatMul,1048789,213,67108864,67108864,16777216,16777216,67108864,16384,75513856,8388608,80,65536,16384,32768,1
2,2,8,2,FC_test,fc3/MatMul,1025223,1223,32768000,32768000,2080000,2080000,32768000,32768,32832768,32000,80,65536,16384,32768,1
2,2,8,2,vit,conv0/Convolution,28901742,366,924844032,231211008,28901376,28901376,924844032,1204224,246865920,14450688,80,65536,16384,32768,1
2,2,8,2,vit,fc1/MatMul,87146537,41,2788687872,2788687872,174292992,174292992,2788687872,1210368,2877044736,87146496,80,65536,16384,32768,1
2,2,8,2,vit,fc2/MatMul,7262401,193,464781312,464781312,469622784,469622784,464781312,3631104,473253888,4841472,80,65536,16384,32768,1
2,2,8,2,vit,fc3/MatMul,116195369,41,3718250496,3718250496,232390656,232390656,3718250496,1210368,3835656192,116195328,80,65536,16384,32768,1
2,2,8,2,vit,fc4/MatMul,116195427,99,3718250496,18874368,7436500992,7436500992,3718250496,232390656,3969515520,3718250496,80,65536,16384,32768,1
2,2,8,2,vit,fc5/MatMul,87146537,41,2788687872,2788687872,174292992,174292992,2788687872,1210368,2877044736,87146496,80,65536,16384,32768,1
2,2,8,2,vit,fc6/MatMul,29048974,142,929562624,929562624,1863966720,1863966720,929562624,14524416,948928512,4841472,80,65536,16384,32768,1
2,2,8,2,vit,fc7/MatMul,116195369,41,3718250496,3718250496,232390656,232390656,3718250496,1210368,3835656192,116195328,80,65536,16384,32768,1
2,2,8,2,vit,fc8/MatMul,116195427,99,3718250496,18874368,7436500992,7436500992,3718250496,232390656,3969515520,3718250496,80,65536,16384,32768,1
2,2,8,2,vit,fc9/MatMul,87146537,41,2788687872,2788687872,174292992,174292992,2788687872,1210368,2877044736,87146496,80,65536,16384,32768,1
2,2,8,2,vit,fc10/MatMul,29048974,142,929562624,929562624,1863966720,1863966720,929562624,14524416,948928512,4841472,80,65536,16384,32768,1
2,2,8,2,vit,fc11/MatMul,116195369,41,3718250496,3718250496,232390656,232390656,3718250496,1210368,3835656192,116195328,80,65536,16384,32768,1
2,2,8,2,vit,fc12/MatMul,116195427,99,3718250496,18874368,7436500992,7436500992,3718250496,232390656,3969515520,3718250496,80,65536,16384,32768,1
2,2,8,2,vit,fc13/MatMul,87146537,41,2788687872,2788687872,174292992,174292992,2788687872,1210368,2877044736,87146496,80,65536,16384,32768,1
2,2,8,2,vit,fc14/MatMul,29048974,142,929562624,929562624,1863966720,1863966720,929562624,14524416,948928512,4841472,80,65536,16384,32768,1
2,2,8,2,vit,fc15/MatMul,116195369,41,3718250496,3718250496,232390656,232390656,3718250496,1210368,3835656192,116195328,80,65536,16384,32768,1
2,2,8,2,vit,fc16/MatMul,116195427,99,3718250496,18874368,7436500992,7436500992,3718250496,232390656,3969515520,3718250496,80,65536,16384,32768,1
2,2,8,2,vit,fc17/MatMul,87146537,41,2788687872,2788687872,174292992,174292992,2788687872,1210368,2877044736,87146496,80,65536,16384,32768,1
2,2,8,2,vit,fc18/MatMul,29048974,142,929562624,929562624,1863966720,1863966720,929562624,14524416,948928512,4841472,80,65536,16384,32768,1
2,2,8,2,vit,fc19/MatMul,116195369,41,3718250496,3718250496,232390656,232390656,3718250496,1210368,3835656192,116195328,80,65536,16384,32768,1
2,2,8,2,vit,fc20/MatMul,116195427,99,3718250496,18874368,7436500992,7436500992,3718250496,232390656,3969515520,3718250496,80,65536,16384,32768,1
2,2,8,2,vit,fc21/MatMul,87146537,41,2788687872,2788687872,174292992,174292992,2788687872,1210368,2877044736,87146496,80,65536,16384,32768,1
2,2,8,2,vit,fc22/MatMul,7262401,193,464781312,464781312,469622784,469622784,464781312,3631104,473253888,4841472,80,65536,16384,32768,1
2,2,8,2,vit,fc23/MatMul,116195369,41,3718250496,3718250496,232390656,232390656,3718250496,1210368,3835656192,116195328,80,65536,16384,32768,1
2,2,8,2,vit,fc24/MatMul,116195427,99,3718250496,18874368,7436500992,7436500992,3718250496,232390656,3969515520,3718250496,80,65536,16384,32768,1
2,2,8,2,vit,fc25/MatMul,87146537,41,2788687872,2788687872,174292992,174292992,2788687872,1210368,2877044736,87146496,80,65536,16384,32768,1
2,2,8,2,vit,fc26/MatMul,29048974,142,929562624,929562624,1863966720,1863966720,929562624,14524416,948928512,4841472,80,65536,16384,32768,1
2,2,8,2,vit,fc27/MatMul,116195369,41,3718250496,3718250496,232390656,232390656,3718250496,1210368,3835656192,116195328,80,65536,16384,32768,1
2,2,8,2,vit,fc28/MatMul,116195427,99,3718250496,18874368,7436500992,7436500992,3718250496,232390656,3969515520,3718250496,80,65536,16384,32768,1
2,2,8,2,vit,fc29/MatMul,87146537,41,2788687872,2788687872,174292992,174292992,2788687872,1210368,2877044736,87146496,80,65536,16384,32768,1
2,2,8,2,vit,fc30/MatMul,7262401,193,464781312,464781312,469622784,469622784,464781312,3631104,473253888,4841472,80,65536,16384,32768,1
2,2,8,2,vit,fc31/MatMul,116195369,41,3718250496,3718250496,232390656,232390656,3718250496,1210368,3835656192,116195328,80,65536,16384,32768,1
2,2,8,2,vit,fc32/MatMul,116195427,99,3718250496,18874368,7436500992,7436500992,3718250496,232390656,3969515520,3718250496,80,65536,16384,32768,1
2,2,8,2,vit,fc33/MatMul,87146537,41,2788687872,2788687872,174292992,174292992,2788687872,1210368,2877044736,87146496,80,65536,16384,32768,1
2,2,8,2,vit,fc34/MatMul,7262401,193,464781312,464781312,469622784,469622784,464781312,3631104,473253888,4841472,80,65536,16384,32768,1
2,2,8,2,vit,fc35/MatMul,116195369,41,3718250496,3718250496,232390656,232390656,3718250496,1210368,3835656192,116195328,80,65536,16384,32768,1
2,2,8,2,vit,fc36/MatMul,116195427,99,3718250496,18874368,7436500992,7436500992,3718250496,232390656,3969515520,3718250496,80,65536,16384,32768,1
2,2,8,2,vit,fc37/MatMul,87146537,41,2788687872,2788687872,174292992,174292992,2788687872,1210368,2877044736,87146496,80,65536,16384,32768,1
2,2,8,2,vit,fc38/MatMul,7262401,193,464781312,464781312,469622784,469622784,464781312,3631104,473253888,4841472,80,65536,16384,32768,1
2,2,8,2,vit,fc39/MatMul,116195369,41,3718250496,3718250496,232390656,232390656,3718250496,1210368,3835656192,116195328,80,65536,16384,32768,1
2,2,8,2,vit,fc40/MatMul,116195427,99,3718250496,18874368,7436500992,7436500992,3718250496,232390656,3969515520,3718250496,80,65536,16384,32768,1
2,2,8,2,vit,fc41/MatMul,87146537,41,2788687872,2788687872,174292992,174292992,2788687872,1210368,2877044736,87146496,80,65536,16384,32768,1
2,2,8,2,vit,fc42/MatMul,7262401,193,464781312,464781312,469622784,469622784,464781312,3631104,473253888,4841472,80,65536,16384,32768,1
2,2,8,2,vit,fc43/MatMul,116195369,41,3718250496,3718250496,232390656,232390656,3718250496,1210368,3835656192,116195328,80,65536,16384,32768,1
2,2,8,2,vit,fc44/MatMul,116195427,99,3718250496,18874368,7436500992,7436500992,3718250496,232390656,3969515520,3718250496,80,65536,16384,32768,1
2,2,8,2,vit,fc45/MatMul,87146537,41,2788687872,2788687872,174292992,174292992,2788687872,1210368,2877044736,87146496,80,65536,16384,32768,1
2,2,8,2,vit,fc46/MatMul,29048974,142,929562624,929562624,1863966720,1863966720,929562624,14524416,948928512,4841472,80,65536,16384,32768,1
2,2,8,2,vit,fc47/MatMul,116195369,41,3718250496,3718250496,232390656,232390656,3718250496,1210368,3835656192,116195328,80,65536,16384,32768,1
2,2,8,2,vit,fc48/MatMul,116195427,99,3718250496,18874368,7436500992,7436500992,3718250496,232390656,3969515520,3718250496,80,65536,16384,32768,1
2,2,8,2,vit,fc49/MatMul,192890,890,6144000,6144000,416000,416000,6144000,6144,6182144,32000,80,65536,16384,32768,1
2,2,8,2,rte,fc0/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc1/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc2/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc3/MatMul,4718766,174,301989888,75497472,37748736,37748736,301989888,393216,94765056,18874368,80,65536,16384,32768,1
2,2,8,2,rte,fc4/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,rte,fc5/MatMul,75497550,78,2415919104,301989888,301989888,301989888,2415919104,3145728,456130560,150994944,80,65536,16384,32768,1
2,2,8,2,rte,fc6/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc7/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc8/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc9/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc10/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,rte,fc11/MatMul,75497550,78,2415919104,301989888,301989888,301989888,2415919104,3145728,456130560,150994944,80,65536,16384,32768,1
2,2,8,2,rte,fc12/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc13/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc14/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc15/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc16/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,rte,fc17/MatMul,75497550,78,2415919104,301989888,301989888,301989888,2415919104,3145728,456130560,150994944,80,65536,16384,32768,1
2,2,8,2,rte,fc18/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc19/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc20/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc21/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc22/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,rte,fc23/MatMul,75497550,78,2415919104,301989888,301989888,301989888,2415919104,3145728,456130560,150994944,80,65536,16384,32768,1
2,2,8,2,rte,fc24/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc25/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc26/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc27/MatMul,4718766,174,301989888,75497472,37748736,37748736,301989888,393216,94765056,18874368,80,65536,16384,32768,1
2,2,8,2,rte,fc28/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,rte,fc29/MatMul,18874509,141,1207959552,75497472,150994944,150994944,1207959552,1572864,152567808,75497472,80,65536,16384,32768,1
2,2,8,2,rte,fc30/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc31/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc32/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc33/MatMul,4718766,174,301989888,75497472,37748736,37748736,301989888,393216,94765056,18874368,80,65536,16384,32768,1
2,2,8,2,rte,fc34/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,rte,fc35/MatMul,18874509,141,1207959552,75497472,150994944,150994944,1207959552,1572864,152567808,75497472,80,65536,16384,32768,1
2,2,8,2,rte,fc36/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc37/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc38/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc39/MatMul,4718766,174,301989888,75497472,37748736,37748736,301989888,393216,94765056,18874368,80,65536,16384,32768,1
2,2,8,2,rte,fc40/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,rte,fc41/MatMul,18874509,141,1207959552,75497472,150994944,150994944,1207959552,1572864,152567808,75497472,80,65536,16384,32768,1
2,2,8,2,rte,fc42/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc43/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc44/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc45/MatMul,4718766,174,301989888,75497472,37748736,37748736,301989888,393216,94765056,18874368,80,65536,16384,32768,1
2,2,8,2,rte,fc46/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,rte,fc47/MatMul,18874509,141,1207959552,75497472,150994944,150994944,1207959552,1572864,152567808,75497472,80,65536,16384,32768,1
2,2,8,2,rte,fc48/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc49/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc50/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc51/MatMul,4718766,174,301989888,75497472,37748736,37748736,301989888,393216,94765056,18874368,80,65536,16384,32768,1
2,2,8,2,rte,fc52/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,rte,fc53/MatMul,75497550,78,2415919104,301989888,301989888,301989888,2415919104,3145728,456130560,150994944,80,65536,16384,32768,1
2,2,8,2,rte,fc54/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc55/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc56/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc57/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc58/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,rte,fc59/MatMul,75497550,78,2415919104,301989888,301989888,301989888,2415919104,3145728,456130560,150994944,80,65536,16384,32768,1
2,2,8,2,rte,fc60/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc61/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc62/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc63/MatMul,4718766,174,301989888,75497472,37748736,37748736,301989888,393216,94765056,18874368,80,65536,16384,32768,1
2,2,8,2,rte,fc64/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,rte,fc65/MatMul,75497550,78,2415919104,301989888,301989888,301989888,2415919104,3145728,456130560,150994944,80,65536,16384,32768,1
2,2,8,2,rte,fc66/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc67/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc68/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,rte,fc69/MatMul,4718766,174,301989888,75497472,37748736,37748736,301989888,393216,94765056,18874368,80,65536,16384,32768,1
2,2,8,2,rte,fc70/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,rte,fc71/MatMul,18874509,141,1207959552,75497472,150994944,150994944,1207959552,1572864,152567808,75497472,80,65536,16384,32768,1
2,2,8,2,rte,fc72/MatMul,148161,705,4718592,4718592,319488,319488,4718592,6144,4749312,24576,80,65536,16384,32768,1
2,2,8,2,rte,fc73/MatMul,617,233,12288,12288,128,128,12288,6144,18496,64,80,65536,16384,32768,1
2,2,8,2,wnli,fc0/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc1/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc2/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc3/MatMul,4718766,174,301989888,75497472,37748736,37748736,301989888,393216,94765056,18874368,80,65536,16384,32768,1
2,2,8,2,wnli,fc4/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,wnli,fc5/MatMul,18874509,141,1207959552,75497472,150994944,150994944,1207959552,1572864,152567808,75497472,80,65536,16384,32768,1
2,2,8,2,wnli,fc6/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc7/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc8/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc9/MatMul,4718766,174,301989888,75497472,37748736,37748736,301989888,393216,94765056,18874368,80,65536,16384,32768,1
2,2,8,2,wnli,fc10/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,wnli,fc11/MatMul,18874509,141,1207959552,75497472,150994944,150994944,1207959552,1572864,152567808,75497472,80,65536,16384,32768,1
2,2,8,2,wnli,fc12/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc13/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc14/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc15/MatMul,4718766,174,301989888,75497472,37748736,37748736,301989888,393216,94765056,18874368,80,65536,16384,32768,1
2,2,8,2,wnli,fc16/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,wnli,fc17/MatMul,75497550,78,2415919104,301989888,301989888,301989888,2415919104,3145728,456130560,150994944,80,65536,16384,32768,1
2,2,8,2,wnli,fc18/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc19/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc20/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc21/MatMul,4718766,174,301989888,75497472,37748736,37748736,301989888,393216,94765056,18874368,80,65536,16384,32768,1
2,2,8,2,wnli,fc22/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,wnli,fc23/MatMul,18874509,141,1207959552,75497472,150994944,150994944,1207959552,1572864,152567808,75497472,80,65536,16384,32768,1
2,2,8,2,wnli,fc24/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc25/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc26/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc27/MatMul,4718766,174,301989888,75497472,37748736,37748736,301989888,393216,94765056,18874368,80,65536,16384,32768,1
2,2,8,2,wnli,fc28/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,wnli,fc29/MatMul,18874509,141,1207959552,75497472,150994944,150994944,1207959552,1572864,152567808,75497472,80,65536,16384,32768,1
2,2,8,2,wnli,fc30/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc31/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc32/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
2,2,8,2,wnli,fc33/MatMul,4718766,174,301989888,75497472,37748736,37748736,301989888,393216,94765056,18874368,80,65536,16384,32768,1
2,2,8,2,wnli,fc34/MatMul,75497551,79,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,80,65536,16384,32768,1
2,2,8,2,wnli,fc35/MatMul,18874509,141,1207959552,75497472,150994944,150994944,1207959552,1572864,152567808,75497472,80,65536,16384,32768,1
2,2,8,2,wnli,fc36/MatMul,18874497,129,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,80,65536,16384,32768,1
