N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size,avg_iprec,avg_wprec
16,32,8,2,inceptionv3,conv0/Convolution,1479535,1124319,964563675.4285716,15861.55102040816,727482368,727482368,960751170.7826086,30023474.08695652,393780519.63797694,363741184,512,65536,16384,32768,16,3.13,3.143
16,32,8,2,inceptionv3,conv1/Convolution,2148016,1110784,12745506816.0,41198.93333333333,708083712,708083712,12533081702.400002,391658803.2000001,745741858.1333334,354041856,512,65536,16384,32768,16,3.933,4.0
16,32,8,2,inceptionv3,conv2/Convolution,3660707,1586243,23039954628.92308,72704.60591715977,1416167424,1416167424,29314665676.8,458041651.2,1166198067.8059173,708083712,512,65536,16384,32768,16,4.6,3.615
16,32,8,2,inceptionv3,conv3/Convolution,1069739,813947,2037241173.333333,32310.30303030303,480206848,480206848,1904952785.4545453,23811909.818181816,285775228.1212121,261931008,512,65536,16384,32768,16,4.364,4.667
16,32,8,2,inceptionv3,conv4/Convolution,4355793,369,43670384640.0,543490.9090909091,991100928,991100928,56763053149.09091,886922705.4545455,1383016660.3636365,495550464,512,65536,16384,32768,16,5.091,3.917
16,32,8,2,inceptionv3,conv5/Convolution,182642,104242,963379200.0,59584.0,80281600,80281600,842956800.0,13171200.0,53371584.0,40140800,512,65536,16384,32768,16,3.5,4.0
16,32,8,2,inceptionv3,conv6/Convolution,184579,106179,654796800.0,38413.84615384616,70246400,70246400,680849723.076923,14184369.230769228,54363583.07692307,40140800,512,65536,16384,32768,16,3.769,3.625
16,32,8,2,inceptionv3,conv7/Convolution,474801,82801,5853866666.666667,314454.7699214367,80281600,80281600,5200058181.818182,162501818.18181822,202957072.95173964,40140800,512,65536,16384,32768,16,3.455,3.889
16,32,8,2,inceptionv3,conv8/Convolution,194719,77119,1063731200.0,60571.42857142859,80281600,80281600,1238630399.9999998,19353600.0,59554971.42857143,40140800,512,65536,16384,32768,16,5.143,4.417
16,32,8,2,inceptionv3,conv9/Convolution,322089,28089,3161088000.0,165027.16049382713,120422400,120422400,4254924800.0,44322133.33333333,104698360.49382716,60211200,512,65536,16384,32768,16,3.926,2.917
16,32,8,2,inceptionv3,conv10/Convolution,705885,285,7586611200.000001,404275.20000000007,120422400,120422400,6632865792.0,207277056.0,267892531.2,60211200,512,65536,16384,32768,16,4.08,4.667
16,32,8,2,inceptionv3,conv11/Convolution,100947,61747,452788224.0,32650.0352,40140800,40140800,368350870.5882353,11510964.705882356,31614014.741082355,20070400,512,65536,16384,32768,16,3.059,3.76
16,32,8,2,inceptionv3,conv12/Convolution,183083,104683,1473403482.352941,76168.59238754325,80281600,80281600,856337066.6666666,13380266.666666666,53597235.25905421,40140800,512,65536,16384,32768,16,2.667,4.588
16,32,8,2,inceptionv3,conv13/Convolution,196143,39343,1174118400.0,73008.0,70246400,70246400,963379200.0,20070400.0,60284208.0,40140800,512,65536,16384,32768,16,4.0,4.875
16,32,8,2,inceptionv3,conv14/Convolution,322613,9013,4300799999.999999,223942.5306122448,80281600,80281600,5419007999.999999,84672000.0,125036742.53061225,40140800,512,65536,16384,32768,16,3.6,2.857
16,32,8,2,inceptionv3,conv15/Convolution,194458,116058,868930258.8235295,46479.20645905421,80281600,80281600,1230984533.3333333,19234133.33333333,59421412.53979239,40140800,512,65536,16384,32768,16,3.833,2.706
16,32,8,2,inceptionv3,conv16/Convolution,412141,541,4541644800.0,259608.38095238095,120422400,120422400,4335206400.0,45158400.0,105629208.3809524,60211200,512,65536,16384,32768,16,4.0,4.19
16,32,8,2,inceptionv3,conv17/Convolution,619044,148644,5689958400.0,322189.2413793104,120422400,120422400,6278574786.206897,196205462.06896552,256738851.31034485,60211200,512,65536,16384,32768,16,3.862,3.5
16,32,8,2,inceptionv3,conv18/Convolution,194518,76918,1177463466.6666665,77127.1111111111,80281600,80281600,1230984533.3333333,19234133.33333333,59452060.44444445,40140800,512,65536,16384,32768,16,3.833,3.667
16,32,8,2,inceptionv3,conv19/Convolution,203693,86093,1382239721.7391305,74774.22215500945,80281600,80281600,1531772928.0,23933952.000000004,64149526.22215501,40140800,512,65536,16384,32768,16,4.24,3.826
16,32,8,2,inceptionv3,conv20/Convolution,193640,115240,878253020.6896551,45699.93545099372,70246400,70246400,903168000.0,18816000.0,59002499.93545099,40140800,512,65536,16384,32768,16,3.333,3.241
16,32,8,2,inceptionv3,conv21/Convolution,549156,356,6272000000.0,336429.1187739464,80281600,80281600,6021119999.999999,188160000.0,228637229.1187739,40140800,512,65536,16384,32768,16,4.0,4.167
16,32,8,2,inceptionv3,conv22/Convolution,199366,81766,1543596218.181818,82701.83343928799,80281600,80281600,1389489230.7692308,21710769.23076923,61934271.06420852,40140800,512,65536,16384,32768,16,3.846,4.273
16,32,8,2,inceptionv3,conv23/Convolution,353242,442,3901685760.0,209018.88,120422400,120422400,4551966720.0,47416320.00000001,107836538.88,60211200,512,65536,16384,32768,16,4.2,3.6
16,32,8,2,inceptionv3,conv24/Convolution,549286,486,8670412800.0,469674.6666666666,160563200,160563200,7225343999.999999,112896000.0,193647274.66666663,80281600,512,65536,16384,32768,16,3.333,4.0
16,32,8,2,inceptionv3,conv25/Convolution,195381,38581,1565491200.0,101127.37448559668,80281600,80281600,1257745066.6666667,19652266.666666664,59894194.04115226,40140800,512,65536,16384,32768,16,3.481,4.333
16,32,8,2,inceptionv3,conv26/Convolution,2219881,361,21849761978.181816,4760296.727272727,568197120,568197120,21136932864.0,330264576.0,619123432.7272727,284098560,512,65536,16384,32768,16,4.133,4.273
16,32,8,2,inceptionv3,conv27/Convolution,191424,73824,1685913600.0,115548.16,80281600,80281600,1127153664.0,17611776.0,57868124.16,40140800,512,65536,16384,32768,16,3.12,4.667
16,32,8,2,inceptionv3,conv28/Convolution,327744,33744,3010560000.0,170882.1548821549,120422400,120422400,4532261236.363636,47211054.54545455,107593136.7003367,60211200,512,65536,16384,32768,16,4.182,2.778
16,32,8,2,inceptionv3,conv29/Convolution,79816,10456,971617075.2,234997.9607843137,28409856,28409856,1173159936.0,12220415.999999998,26660341.960784312,14204928,512,65536,16384,32768,16,3.059,2.533
16,32,8,2,inceptionv3,conv30/Convolution,179466,13002,2290970787.84,569062.1951999998,56819712,56819712,2207851666.285714,34497682.28571428,63476600.48091428,28409856,512,65536,16384,32768,16,3.238,3.36
16,32,8,2,inceptionv3,conv31/Convolution,166852,388,1581070246.956522,364359.2762624899,37879808,37879808,2337725293.7142854,36526957.71428572,55831220.99054821,18939904,512,65536,16384,32768,16,5.143,3.478
16,32,8,2,inceptionv3,conv32/Convolution,78504,41512,292215661.7142857,120383.30852340936,37879808,37879808,280756224.0,2193408.0,21253695.30852341,18939904,512,65536,16384,32768,16,3.706,3.857
16,32,8,2,inceptionv3,conv33/Convolution,2108965,421,19342626169.26316,4273205.894736842,227278848,227278848,25573079267.55555,799158727.1111109,917071357.0058478,113639424,512,65536,16384,32768,16,4.593,3.474
16,32,8,2,inceptionv3,conv34/Convolution,166957,493,2015864564.8695648,450711.3387179928,37879808,37879808,1570290222.5454545,24535784.727272727,43926400.06599072,18939904,512,65536,16384,32768,16,3.455,4.435
16,32,8,2,inceptionv3,conv35/Convolution,1184147,403,12824036817.454546,2799091.305785124,303038464,303038464,17469276160.0,272957440.0,427275763.3057851,151519232,512,65536,16384,32768,16,4.706,3.455
16,32,8,2,inceptionv3,conv36/Convolution,78855,41863,335506870.85714287,85067.66502463055,37879808,37879808,308263265.1034483,2408306.7586206896,21433278.42364532,18939904,512,65536,16384,32768,16,4.069,4.429
16,32,8,2,inceptionv3,conv37/Convolution,1052183,16407,15591328972.8,3665219.956363637,303038464,303038464,14848884736.0,232013824.0,387198275.9563637,151519232,512,65536,16384,32768,16,4.0,4.2
16,32,8,2,inceptionv3,conv38/Convolution,117012,61524,454557696.0,131072.0,56819712,56819712,568197120.0,2959360.0,31500288.0,28409856,512,65536,16384,32768,16,5.0,4.0
16,32,8,2,inceptionv3,conv39/Convolution,250115,419,2314111906.909091,552271.6914600551,56819712,56819712,3106144256.0,48533504.0,77495631.69146006,28409856,512,65536,16384,32768,16,4.556,3.394
16,32,8,2,inceptionv3,conv40/Convolution,194650,442,2678643565.714286,595494.6031746033,56819712,56819712,2474814122.6666665,38668970.66666666,67674321.26984127,28409856,512,65536,16384,32768,16,3.63,3.929
16,32,8,2,inceptionv3,conv41/Convolution,210332,25372,2777852586.666667,614905.6790123458,47349760,47349760,1911208494.545455,59725265.45454547,84015051.13355781,23674880,512,65536,16384,32768,16,3.364,4.889
16,32,8,2,inceptionv3,conv42/Convolution,98297,52057,473497600.0,108417.18050065875,47349760,47349760,459149187.8787879,2869682.4242424243,26652979.60474308,23674880,512,65536,16384,32768,16,3.879,4.0
16,32,8,2,inceptionv3,conv43/Convolution,2219934,414,25355796480.0,5515493.87755102,568197120,568197120,25164576295.384613,393196504.6153846,682810558.4929357,284098560,512,65536,16384,32768,16,3.615,3.643
16,32,8,2,inceptionv3,conv44/Convolution,277707,267,2634368465.454545,580898.8129226145,47349760,47349760,2272788480.0,71024640.0,95280418.8129226,23674880,512,65536,16384,32768,16,4.0,4.636
16,32,8,2,inceptionv3,conv45/Convolution,1752150,18150,21958451200.0,5024100.470957615,236748800,236748800,20970480246.153847,655327507.6923077,778726008.1632653,118374400,512,65536,16384,32768,16,3.615,3.786
16,32,8,2,inceptionv3,conv46/Convolution,97792,51552,431718400.0,158170.79584775088,47349760,47349760,409757538.4615385,2560984.6153846155,26394035.411232367,23674880,512,65536,16384,32768,16,3.462,3.647
