N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
16,32,8,2,FC_test,fc1/MatMul,2833,2705,49152,1153433.6,262144,262144,54067.2,13.2,1284518.8,131072,500,65536,16384,32768,1
16,32,8,2,FC_test,fc2/MatMul,138974,131294,67108864,69206016.0,655360,655360,73819750.4,18022.4,69355110.4,131072,500,65536,16384,32768,1
16,32,8,2,FC_test,fc3/MatMul,69374,65534,33554432,34603008.0,294912,294912,18454937.6,18022.4,34653798.4,32768,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv0/Convolution,95422,73221,153453312,10169.379310344828,45467648,45467648,71435162.48275863,2232348.827586207,24976342.20689655,22733824,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv1/Convolution,130154,500,1593188352,76068.57142857143,44255232,44255232,663828480.0,20744640.0,42948324.57142857,22127616,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv2/Convolution,432503,323,3186376704,157013.33333333334,88510464,88510464,2124251136.0000002,66382848.00000001,110795093.33333334,44255232,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv3/Convolution,67976,36002,218275840,56758.857142857145,30012928,30012928,95105901.71428572,1188823.7714285713,17616270.62857143,16370688,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv4/Convolution,514581,399,5574942720,1165419.789473684,61943808,61943808,2567407831.578947,80231494.7368421,112368818.52631578,30971904,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv5/Convolution,12543,293,120422400,114688.0,5017600,5017600,60211200.0,940800.0,3564288.0,2508800,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv6/Convolution,12485,235,90316800,86817.39130434782,4390400,4390400,43194991.30434783,899895.6521739131,3495513.0434782607,2508800,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv7/Convolution,88429,229,752640000,22020096.000000004,32614400,32614400,439039999.99999994,13720000.0,38248896.0,2508800,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv8/Convolution,17440,290,120422400,107042.13333333332,5017600,5017600,74260480.0,1160320.0,3776162.1333333333,2508800,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv9/Convolution,44631,531,541900800,451041.8823529412,15052800,15052800,223135623.52941176,2324329.4117647056,10301771.294117646,7526400,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv10/Convolution,81678,828,812851200,692060.16,7526400,7526400,373911552.0,11684736.0,16139996.16,3763200,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv11/Convolution,7658,308,60211200,54067.200000000004,2508800,2508800,31309824.0,978432.0,2286899.2,1254400,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv12/Convolution,15062,362,160563200,145408.0,5017600,5017600,68573866.66666666,1071466.6666666665,3725674.6666666665,2508800,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv13/Convolution,12520,270,120422400,101861.05263157896,4390400,4390400,47535157.89473684,990315.7894736843,3600976.842105263,2508800,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv14/Convolution,73773,273,752640000,619315.2,30105600,30105600,383846400.0,5997600.0,21669715.2,15052800,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv15/Convolution,15051,351,160563200,133412.57142857142,5017600,5017600,83148799.99999999,1299199.9999999998,3941412.571428571,2508800,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv16/Convolution,48393,618,541900800,469248.0,7526400,7526400,270950400.0,8467200.0,12699648.0,3763200,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv17/Convolution,125558,608,812851200,678912.0,7526400,7526400,635040000.0,19845000.0,24287112.0,3763200,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv18/Convolution,17520,370,160563200,148573.0909090909,5017600,5017600,71158690.9090909,1111854.5454545454,3769227.6363636362,2508800,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv19/Convolution,20016,416,180633600,161109.33333333334,5017600,5017600,94080000.0,1470000.0,4139909.333333333,2508800,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv20/Convolution,14998,298,135475200,112640.0,4390400,4390400,52684800.00000001,1097600.0000000002,3719040.0,2508800,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv21/Convolution,66620,470,752640000,663552.0,15052800,15052800,352800000.0,11025000.0,19214952.0,7526400,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv22/Convolution,17558,408,180633600,164632.7741935484,5017600,5017600,77206296.77419356,1206348.3870967743,3879781.1612903224,2508800,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv23/Convolution,70477,652,541900800,450267.42857142864,7526400,7526400,348364799.99999994,10886399.999999998,15099867.428571427,3763200,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv24/Convolution,81690,840,812851200,691742.1176470588,7526400,7526400,394471905.882353,12327247.058823531,16782189.176470593,3763200,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv25/Convolution,20006,406,180633600,154202.35294117648,5017600,5017600,98285929.41176471,1535717.6470588236,4198720.0,2508800,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv26/Convolution,312394,274,2301198336,8531382.857142856,63922176,63922176,1356063305.142857,42376978.28571428,82869449.14285713,31961088,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv27/Convolution,20010,410,180633600,159984.94117647057,5017600,5017600,90316800.0,1411200.0,4079984.9411764704,2508800,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv28/Convolution,59327,527,541900800,450560.0,15052800,15052800,276595200.0,8643600.0,16620560.0,7526400,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv29/Convolution,13473,468,95883264,331776.00000000006,1775616,1775616,143824896.0,4494528.0,5714112.0,887808,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv30/Convolution,31651,439,340918272,1200713.1428571427,10653696,10653696,158283483.4285714,2473179.428571428,9000740.57142857,5326848,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv31/Convolution,26018,586,227278848,799254.2608695652,2367488,2367488,125991535.30434783,3937235.47826087,5920233.7391304355,1183744,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv32/Convolution,5176,2864,18939904,112867.55555555556,2367488,2367488,13678819.555555556,106865.77777777777,1403477.3333333333,1183744,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv33/Convolution,174131,731,1392082944,5013504.0,14204928,14204928,1586974556.16,49592954.88000001,61708922.88000001,7102464,500,65536,16384,32768,1
16,32,8,2,inceptionv3,conv34/Convolution,22537,573,227278848,806539.6363636364,2367488,2367488,108473995.63636364,3389812.363636364,5380096.000000001,1183744,500,65536,16384,32768,1
