N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
16,32,8,2,VGG-7,conv1_a/Convolution,70401,4865,113246208,65536,134217728,134217728,113246208,884736,68059136,67108864,1920,65536,16384,32768,64
16,32,8,2,VGG-7,conv1_b/Convolution,70401,4865,113246208,65536,134217728,134217728,113246208,884736,68059136,67108864,1920,65536,16384,32768,64
16,32,8,2,VGG-7,conv2_a/Convolution,294974,62,2415919104,655360,67108864,67108864,2415919104,75497472,109707264,33554432,1920,65536,16384,32768,64
16,32,8,2,VGG-7,conv2_b/Convolution,294974,62,2415919104,655360,67108864,67108864,2415919104,75497472,109707264,33554432,1920,65536,16384,32768,64
16,32,8,2,VGG-7,conv3_a/Convolution,147560,104,2415919104,2359296,33554432,33554432,2415919104,18874368,38010880,16777216,1920,65536,16384,32768,64
16,32,8,2,VGG-7,conv3_b/Convolution,147560,104,2415919104,2359296,33554432,33554432,2415919104,18874368,38010880,16777216,1920,65536,16384,32768,64
16,32,8,2,VGG-7,fc1/MatMul,16415,31,268435456,16777216,17301504,17301504,268435456,8388608,25690112,524288,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,conv1_a/Convolution,8028248,88,30211571712,163840,1644167168,1644167168,30211571712,944111616,1766359040,822083584,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,module2/conv2_1_a/Convolution,401454,46,3288334336,65536,411041792,411041792,3288334336,102760448,308346880,205520896,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,module2/conv2_1_b/Convolution,3612716,44,29595009024,589824,822083584,822083584,29595009024,924844032,1336475648,411041792,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,module2/conv2_2_a/Convolution,401454,46,3288334336,65536,411041792,411041792,3288334336,102760448,308346880,205520896,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,module2/conv2_2_b/Convolution,3612716,44,29595009024,589824,822083584,822083584,29595009024,924844032,1336475648,411041792,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,module3/conv3_1_a/Convolution,200785,81,1644167168,131072,205520896,205520896,1644167168,6422528,109314048,102760448,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,module3/conv3_1_b/Convolution,3612721,49,29595009024,2359296,822083584,822083584,29595009024,924844032,1338245120,411041792,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,module3/conv3_2_a/Convolution,401558,150,3288334336,262144,411041792,411041792,3288334336,12845056,218628096,205520896,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,module3/conv3_2_b/Convolution,3612721,49,29595009024,2359296,822083584,822083584,29595009024,924844032,1338245120,411041792,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,module4/conv4_1_a/Convolution,200739,35,1644167168,205520896,102760448,102760448,1644167168,3211264,260112384,51380224,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,module4/conv4_1_b/Convolution,3612730,58,29595009024,9437184,822083584,822083584,29595009024,924844032,1345323008,411041792,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,module4/conv4_2_a/Convolution,401443,35,3288334336,411041792,205520896,205520896,3288334336,6422528,520224768,102760448,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,module4/conv4_2_b/Convolution,3612730,58,29595009024,9437184,822083584,822083584,29595009024,924844032,1345323008,411041792,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,module5/conv5_1_a/Convolution,200737,33,1644167168,234881024,102760448,102760448,1644167168,1605632,287866880,51380224,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,module5/conv5_1_b/Convolution,3612727,55,29595009024,37748736,822083584,822083584,29595009024,924844032,1373634560,411041792,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,module5/conv5_2_a/Convolution,401448,40,3288334336,469762048,205520896,205520896,3288334336,3211264,575733760,102760448,1920,65536,16384,32768,64
16,32,8,2,RESNET-18,module5/conv5_2_b/Convolution,3612727,55,29595009024,37748736,822083584,822083584,29595009024,924844032,1373634560,411041792,1920,65536,16384,32768,64
16,32,8,2,RNN,matmul/MatMul,131096,24,1073741824,67108864,136314880,136314880,1073741824,33554432,102760448,2097152,1920,65536,16384,32768,64
16,32,8,2,LSTM,matmul/MatMul,103080,24,844234752,52764672,107380736,107380736,844234752,26382336,80998400,1851392,1920,65536,16384,32768,64
