N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
16,32,8,2,FC_test,fc1/MatMul,7865,7737,49152,524288,262144,262144,98304,24,655384,131072,100,65536,16384,32768,1
16,32,8,2,FC_test,fc2/MatMul,673875,665683,67108864,67108864,655360,655360,67108864,16384,67256320,131072,100,65536,16384,32768,1
16,32,8,2,FC_test,fc3/MatMul,328664,320472,32768000,32768000,4128768,4128768,32768000,32768,32833536,32768,100,65536,16384,32768,1
16,32,8,2,inceptionv3,conv0/Convolution,502714,458312,153453312,8192,45467648,45467648,153453312,4795416,27537432,22733824,100,65536,16384,32768,1
16,32,8,2,inceptionv3,conv1/Convolution,941163,552201,1593188352,73728,44255232,44255232,1593188352,49787136,71988480,22127616,100,65536,16384,32768,1
16,32,8,2,inceptionv3,conv2/Convolution,1384452,606528,3186376704,147456,88510464,88510464,3186376704,49787136,94189824,44255232,100,65536,16384,32768,1
16,32,8,2,inceptionv3,conv3/Convolution,355110,291162,218275840,40960,30012928,30012928,218275840,2728448,19140096,16370688,100,65536,16384,32768,1
16,32,8,2,inceptionv3,conv4/Convolution,2372669,1011599,5574942720,1105920,61943808,61943808,5574942720,174216960,206294784,30971904,100,65536,16384,32768,1
16,32,8,2,inceptionv3,conv5/Convolution,69977,40577,120422400,98304,5017600,5017600,120422400,1881600,4488704,2508800,100,65536,16384,32768,1
16,32,8,2,inceptionv3,conv6/Convolution,69731,40331,90316800,73728,4390400,4390400,90316800,1881600,4464128,2508800,100,65536,16384,32768,1
16,32,8,2,inceptionv3,conv7/Convolution,274274,90524,752640000,614400,15052800,15052800,752640000,11760000,19900800,7526400,100,65536,16384,32768,1
16,32,8,2,inceptionv3,conv8/Convolution,69977,40577,120422400,98304,5017600,5017600,120422400,1881600,4488704,2508800,100,65536,16384,32768,1
16,32,8,2,inceptionv3,conv9/Convolution,211400,79100,541900800,442368,15052800,15052800,541900800,5644800,13613568,7526400,100,65536,16384,32768,1
16,32,8,2,inceptionv3,conv10/Convolution,317100,118650,812851200,663552,22579200,22579200,812851200,8467200,20420352,11289600,100,65536,16384,32768,1
16,32,8,2,inceptionv3,conv11/Convolution,44397,29697,60211200,49152,2508800,2508800,60211200,1881600,3185152,1254400,100,65536,16384,32768,1
