N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
2,2,8,2,inceptionv3,conv32/Convolution,297029,1093,18939904,65536,2367488,2367488,18939904,147968,1397248,1183744,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv33/Convolution,21751754,458,1392082944,81887232,56819712,56819712,1392082944,7250432,117547520,28409856,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv34/Convolution,7102687,223,227278848,786432,454557696,454557696,227278848,1775616,229840896,227278848,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv35/Convolution,58003862,406,1856110592,109182976,76943360,76943360,1856110592,232013824,342380544,1183744,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv36/Convolution,1185773,2029,37879808,131072,4734976,4734976,37879808,295936,2794496,2367488,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv37/Convolution,58003862,406,1856110592,109182976,76943360,76943360,1856110592,232013824,342380544,1183744,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv38/Convolution,445465,1561,28409856,98304,3551232,3551232,28409856,147968,2021888,1775616,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv39/Convolution,10653948,252,340918272,1179648,681836544,681836544,340918272,1775616,343873536,340918272,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv40/Convolution,10653948,252,340918272,1179648,681836544,681836544,340918272,1775616,343873536,340918272,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv41/Convolution,8878317,237,284098560,983040,568197120,568197120,284098560,1775616,286857216,284098560,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv42/Convolution,464050,1650,29593600,102400,2959360,2959360,29593600,184960,1767040,1479680,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv43/Convolution,108756886,406,3480207360,204718080,143824896,143824896,3480207360,435025920,641519616,1775616,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv44/Convolution,8878317,237,284098560,983040,568197120,568197120,284098560,1775616,286857216,284098560,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv45/Convolution,22658285,685,1450086400,1450086400,16276480,16276480,1450086400,9063040,1460629120,1479680,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv46/Convolution,464050,1650,29593600,102400,2959360,2959360,29593600,184960,1767040,1479680,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv47/Convolution,90630806,406,2900172800,170598400,119854080,119854080,2900172800,362521600,534599680,1479680,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv48/Convolution,2223195,3675,71024640,245760,142049280,142049280,71024640,369920,71640320,71024640,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv49/Convolution,10653948,252,340918272,1179648,681836544,681836544,340918272,1775616,343873536,340918272,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv50/Convolution,10653948,252,340918272,1179648,681836544,681836544,340918272,1775616,343873536,340918272,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv51/Convolution,8878317,237,284098560,983040,568197120,568197120,284098560,1775616,286857216,284098560,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv52/Convolution,464050,1650,29593600,102400,2959360,2959360,29593600,184960,1767040,1479680,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv53/Convolution,27189578,458,1740103680,102359040,71024640,71024640,1740103680,9063040,146934400,35512320,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv54/Convolution,8878317,237,284098560,983040,568197120,568197120,284098560,1775616,286857216,284098560,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv55/Convolution,22658285,685,1450086400,1450086400,16276480,16276480,1450086400,9063040,1460629120,1479680,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv56/Convolution,464050,1650,29593600,102400,2959360,2959360,29593600,184960,1767040,1479680,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv57/Convolution,22658285,685,1450086400,1450086400,16276480,16276480,1450086400,9063040,1460629120,1479680,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv58/Convolution,556823,1943,35512320,122880,3551232,3551232,35512320,184960,2083456,1775616,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv59/Convolution,10653948,252,340918272,1179648,681836544,681836544,340918272,1775616,343873536,340918272,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv60/Convolution,10653948,252,340918272,1179648,681836544,681836544,340918272,1775616,343873536,340918272,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv61/Convolution,2663896,472,170459136,589824,170459136,170459136,170459136,887808,86707200,85229568,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv62/Convolution,668181,2325,42614784,147456,3551232,3551232,42614784,221952,2145024,1775616,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv63/Convolution,130508075,299,4176248832,245661696,172234752,172234752,4176248832,1044062208,1291499520,1775616,70,65536,16384,32768,1
