N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
2,2,8,2,FC_test,fc1/MatMul,32771,30723,49152,65536,262144,262144,98304,24,196632,131072,10,65536,16384,32768,1
2,2,8,2,FC_test,fc2/MatMul,6738740,5690164,67108864,67108864,262144,262144,67108864,16384,67256320,131072,10,65536,16384,32768,1
2,2,8,2,FC_test,fc3/MatMul,3286477,2262477,32768000,32768000,64000,64000,32768000,32768,32832768,32000,10,65536,16384,32768,1
