N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size,avg_iprec,avg_wprec
16,32,8,2,inceptionv3,conv56/Convolution,4476,141,29593600,122880,2959360,2959360,29593600,184960,1787520,1479680,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv57/Convolution,180964,339,1450086400,5120000,14796800,14796800,1450086400,45315200,57833600,7398400,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv58/Convolution,5369,167,35512320,147456,3551232,3551232,35512320,184960,2108032,1775616,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv59/Convolution,83341,109,340918272,1179648,42614784,42614784,340918272,5326848,27813888,21307392,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv60/Convolution,83341,109,340918272,1179648,42614784,42614784,340918272,5326848,27813888,21307392,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv61/Convolution,20955,147,170459136,589824,10653696,10653696,170459136,5326848,11243520,5326848,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv62/Convolution,5371,169,42614784,147456,3551232,3551232,42614784,221952,2145024,1775616,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv63/Convolution,1019927,335,4176248832,14450688,42614784,42614784,4176248832,130507776,166265856,21307392,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv64/Convolution,20955,147,170459136,589824,10653696,10653696,170459136,5326848,11243520,5326848,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv65/Convolution,260439,339,2088124416,7372800,21307392,21307392,2088124416,65253888,83280384,10653696,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv66/Convolution,5371,169,42614784,147456,3551232,3551232,42614784,221952,2145024,1775616,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv67/Convolution,260439,339,2088124416,7372800,21307392,21307392,2088124416,65253888,83280384,10653696,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv68/Convolution,5371,169,42614784,147456,3551232,3551232,42614784,221952,2145024,1775616,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv69/Convolution,20955,147,170459136,589824,10653696,10653696,170459136,5326848,11243520,5326848,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv70/Convolution,20955,147,170459136,589824,10653696,10653696,170459136,5326848,11243520,5326848,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv71/Convolution,17420,140,141557760,8847360,3932160,3932160,141557760,442368,11255808,1966080,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv72/Convolution,20955,147,170459136,589824,10653696,10653696,170459136,5326848,11243520,5326848,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv73/Convolution,20899,91,85229568,294912,10653696,10653696,85229568,2663424,8285184,5326848,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv74/Convolution,1019927,335,4176248832,14450688,42614784,42614784,4176248832,130507776,166265856,21307392,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv75/Convolution,10508,140,84934656,5308416,2359296,2359296,84934656,442368,6930432,1179648,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv76/Convolution,51238,38,209715200,13107200,53084160,53084160,209715200,6553600,20316160,655360,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv77/Convolution,61478,38,251658240,15728640,63700992,63700992,251658240,7864320,24379392,786432,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv78/Convolution,4784,176,37748736,2359296,1572864,1572864,37748736,98304,3244032,786432,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv79/Convolution,41612,140,339738624,21233664,9437184,9437184,339738624,884736,26836992,4718592,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv80/Convolution,71718,38,293601280,18350080,74317824,74317824,293601280,9175040,28442624,917504,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv81/Convolution,48524,140,396361728,24772608,11010048,11010048,396361728,1032192,31309824,5505024,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv82/Convolution,4784,176,37748736,2359296,1572864,1572864,37748736,98304,3244032,786432,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv83/Convolution,41612,140,339738624,21233664,9437184,9437184,339738624,884736,26836992,4718592,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv84/Convolution,30758,38,125829120,7864320,31850496,31850496,125829120,3932160,12189696,393216,1024,65536,16384,32768,1,8,8
16,32,8,2,inceptionv3,conv85/Convolution,20608,128,167772160,5242880,10485760,10485760,167772160,524288,11010048,5242880,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv86/Convolution,24704,128,201326592,6291456,12582912,12582912,201326592,524288,13107200,6291456,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv87/Convolution,4784,176,37748736,2359296,1572864,1572864,37748736,98304,3244032,786432,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv88/Convolution,41612,140,339738624,21233664,9437184,9437184,339738624,884736,26836992,4718592,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv89/Convolution,28800,128,234881024,7340032,14680064,14680064,234881024,524288,15204352,7340032,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv90/Convolution,48524,140,396361728,24772608,11010048,11010048,396361728,1032192,31309824,5505024,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv91/Convolution,4784,176,37748736,2359296,1572864,1572864,37748736,98304,3244032,786432,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv92/Convolution,41612,140,339738624,21233664,9437184,9437184,339738624,884736,26836992,4718592,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,conv93/Convolution,12440,152,100663296,3145728,12976128,12976128,100663296,1572864,5111808,393216,1024,65536,16384,32768,1,4,4
16,32,8,2,inceptionv3,fc94/MatMul,8072,7048,8192000,8192000,1056768,1056768,8192000,8192,8232960,32768,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,conv1_a/Convolution,72679,79,210830400,73728,10841600,10841600,421660800,8784600,15053528,6195200,1024,65536,16384,32768,1,8,4
16,32,8,2,AlexNet,conv1_b/Convolution,72679,79,210830400,73728,10841600,10841600,421660800,8784600,15053528,6195200,1024,65536,16384,32768,1,8,4
16,32,8,2,AlexNet,conv2_a/Convolution,55737,333,447897600,622592,5971968,5971968,447897600,13996800,17605376,2985984,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,conv2_b/Convolution,55737,333,447897600,622592,5971968,5971968,447897600,13996800,17605376,2985984,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,conv3_a/Convolution,36632,128,299040768,1769472,8306688,8306688,299040768,9345024,15267840,4153344,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,conv3_b/Convolution,36632,128,299040768,1769472,8306688,8306688,299040768,9345024,15267840,4153344,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,conv4_a/Convolution,27506,128,224280576,1327104,6230016,6230016,224280576,7008768,11450880,3115008,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,conv4_b/Convolution,27506,128,224280576,1327104,6230016,6230016,224280576,7008768,11450880,3115008,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,conv5_a/Convolution,18380,128,149520384,884736,4153344,4153344,149520384,4672512,7633920,2076672,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,conv5_b/Convolution,18380,128,149520384,884736,4153344,4153344,149520384,4672512,7633920,2076672,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,fc1/MatMul,147748,129316,150994944,150994944,1310720,1310720,150994944,36864,151162880,131072,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,fc2/MatMul,65808,57616,67108864,67108864,393216,393216,67108864,16384,67256320,131072,1024,65536,16384,32768,1,4,4
16,32,8,2,AlexNet,fc3/MatMul,32096,23904,32768000,32768000,4128768,4128768,32768000,32768,32833536,32768,1024,65536,16384,32768,1,8,8
